I0513 16:01:37.854023 123417386583872 pretrain.py:79] Using device: cuda:0
I0513 16:01:37.854812 123417386583872 pretrain.py:83] Pretraining experiment seed: 1
I0513 16:02:49.314904 123417386583872 pretrain.py:171] Iter[43/10000] (Epoch 0), 0.212716s/iter, Loss: 0.057
I0513 16:02:49.899795 123417386583872 pretrain.py:171] Iter[44/10000] (Epoch 0), 0.207153s/iter, Loss: 0.060
I0513 16:02:50.484641 123417386583872 pretrain.py:171] Iter[45/10000] (Epoch 0), 0.204434s/iter, Loss: 0.051
I0513 16:02:51.075281 123417386583872 pretrain.py:171] Iter[46/10000] (Epoch 0), 0.211496s/iter, Loss: 0.028
I0513 16:02:51.661659 123417386583872 pretrain.py:171] Iter[47/10000] (Epoch 0), 0.208535s/iter, Loss: 0.043
I0513 16:02:52.249684 123417386583872 pretrain.py:171] Iter[48/10000] (Epoch 0), 0.207998s/iter, Loss: 0.037
I0513 16:02:52.847414 123417386583872 pretrain.py:171] Iter[49/10000] (Epoch 0), 0.240255s/iter, Loss: 0.046
I0513 16:02:53.434004 123417386583872 pretrain.py:171] Iter[50/10000] (Epoch 0), 0.210095s/iter, Loss: 0.025
I0513 16:02:54.020995 123417386583872 pretrain.py:171] Iter[51/10000] (Epoch 0), 0.211797s/iter, Loss: 0.026
I0513 16:02:54.605488 123417386583872 pretrain.py:171] Iter[52/10000] (Epoch 0), 0.206967s/iter, Loss: 0.036
I0513 16:02:55.199532 123417386583872 pretrain.py:171] Iter[53/10000] (Epoch 0), 0.210722s/iter, Loss: 0.028
I0513 16:02:55.785459 123417386583872 pretrain.py:171] Iter[54/10000] (Epoch 0), 0.207539s/iter, Loss: 0.023
I0513 16:02:56.399190 123417386583872 pretrain.py:171] Iter[55/10000] (Epoch 0), 0.234379s/iter, Loss: 0.030
I0513 16:02:56.988783 123417386583872 pretrain.py:171] Iter[56/10000] (Epoch 0), 0.204205s/iter, Loss: 0.018
I0513 16:02:57.576295 123417386583872 pretrain.py:171] Iter[57/10000] (Epoch 0), 0.208363s/iter, Loss: 0.027
I0513 16:02:58.167663 123417386583872 pretrain.py:171] Iter[58/10000] (Epoch 0), 0.211993s/iter, Loss: 0.019
I0513 16:02:58.758633 123417386583872 pretrain.py:171] Iter[59/10000] (Epoch 0), 0.209591s/iter, Loss: 0.017
I0513 16:02:59.349476 123417386583872 pretrain.py:171] Iter[60/10000] (Epoch 0), 0.210242s/iter, Loss: 0.022
I0513 16:02:59.942503 123417386583872 pretrain.py:171] Iter[61/10000] (Epoch 0), 0.210830s/iter, Loss: 0.022
I0513 16:03:00.532358 123417386583872 pretrain.py:171] Iter[62/10000] (Epoch 0), 0.213567s/iter, Loss: 0.016
I0513 16:03:01.121598 123417386583872 pretrain.py:171] Iter[63/10000] (Epoch 0), 0.209976s/iter, Loss: 0.014
I0513 16:03:01.709898 123417386583872 pretrain.py:171] Iter[64/10000] (Epoch 0), 0.206456s/iter, Loss: 0.023
I0513 16:03:02.294975 123417386583872 pretrain.py:171] Iter[65/10000] (Epoch 0), 0.205160s/iter, Loss: 0.015
I0513 16:03:02.881677 123417386583872 pretrain.py:171] Iter[66/10000] (Epoch 0), 0.208180s/iter, Loss: 0.019
I0513 16:03:03.473315 123417386583872 pretrain.py:171] Iter[67/10000] (Epoch 0), 0.207768s/iter, Loss: 0.019
